age,workclass,education,marital-status,occupation,relationship,gender,native-country,hours-per-week,experience,capital-gain,capital-loss
64,Self-emp-inc,HS-grad,Never-married,Exec-managerial,Own-child,Male,India,36,1,3209,120
38,State-gov,Some-college,Divorced,Adm-clerical,Own-child,Male,United-States,31,8,3964,231
33,Private,11th,Separated,Other-service,Not-in-family,Male,Philippines,44,17,4938,890
20,Local-gov,12th,Separated,Craft-repair,Wife,Male,Canada,26,0,1753,1373
19,Private,HS-grad,Separated,Exec-managerial,Unmarried,Male,Canada,59,34,2416,629
38,Federal-gov,12th,Never-married,Adm-clerical,Own-child,Female,India,20,0,1980,899
19,Local-gov,12th,Never-married,Tech-support,Unmarried,Male,Philippines,31,35,4722,107
63,Federal-gov,Masters,Divorced,Other-service,Wife,Female,Canada,38,39,1873,842
50,Local-gov,Masters,Married-civ-spouse,Adm-clerical,Wife,Female,Philippines,40,24,1517,1962
18,Local-gov,Masters,Separated,Adm-clerical,Own-child,Male,United-States,44,35,3933,1979
47,Local-gov,Masters,Divorced,Exec-managerial,Wife,Male,Philippines,55,20,4,1612
55,Self-emp-not-inc,HS-grad,Separated,Adm-clerical,Unmarried,Male,India,21,26,4530,76
29,Local-gov,10th,Separated,Adm-clerical,Husband,Female,Philippines,30,30,3113,1325
35,Local-gov,HS-grad,Never-married,Tech-support,Wife,Female,Germany,39,9,2303,1376
18,Self-emp-inc,Some-college,Divorced,Other-service,Unmarried,Female,Mexico,20,12,4736,501
52,Self-emp-not-inc,Some-college,Separated,Adm-clerical,Husband,Female,Canada,48,0,1809,532
20,Federal-gov,Bachelors,Married-civ-spouse,Other-service,Own-child,Male,Canada,42,7,4730,126
37,Local-gov,Masters,Separated,Adm-clerical,Own-child,Male,Germany,21,19,3191,1960
59,Local-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,Canada,42,23,1934,1270
38,Private,HS-grad,Married-civ-spouse,Adm-clerical,Own-child,Male,Germany,46,37,3934,1925
